yil,ulke,sanatci,sarki,yari_final_no,final_cikis_sirasi,final_sira,final_puan,tele_puan_final,juri_puan_final,yarifinal_cikis_sirasi,yarifinal_sira,yarifinal_puan,finale_kaldı,ev_sahibi,ev_sahibi_ulke,ev_sahibi_uzaklik_km,ilk_10
2007,Türkiye,Kenan Dogulu,Shake It Up Shekerim,0.0,22.0,4.0,163.0,,,26.0,3.0,197.0,True,False,Finlandiya,2316.6615107627754,True
2007,Bulgaristan,Elitsa Todorova & Stoyan Yankulov,Water,0.0,21.0,5.0,157.0,,,1.0,6.0,146.0,True,False,Finlandiya,1945.673825083821,True
2007,Belarus,Dmitry Koldun,Work Your Magic,0.0,3.0,6.0,145.0,,,4.0,4.0,176.0,True,False,Finlandiya,714.9749493680802,True
2007,Yunanistan,Sarbel,Yassou Maria,,10.0,7.0,139.0,,,,,,True,False,Finlandiya,2468.8898438996557,True
2007,Ermenistan,Hayko,Anytime You Need,,23.0,8.0,138.0,,,,,,True,False,Finlandiya,2601.2624555965954,True
2007,Macaristan,Magdi Rúzsa,Unsubstantial Blues,0.0,8.0,9.0,128.0,,,22.0,2.0,224.0,True,False,Finlandiya,1459.6470967157811,True
2007,Moldova,Natalia Barbu,Fight,0.0,24.0,10.0,109.0,,,9.0,10.0,91.0,True,False,Finlandiya,1485.3676439579083,True
2007,Bosna-Hersek,Marija Sestic,Rijeka Bez Imena,,1.0,11.0,106.0,,,,,,True,False,Finlandiya,1865.6497132989111,False
2007,Gürcistan,Sopho,Visionary Dream,0.0,11.0,12.0,97.0,,,6.0,8.0,123.0,True,False,Finlandiya,2457.2099337763466,False
2007,Romanya,Todomondo,"Liubi, Liubi, I Love You",,20.0,13.0,84.0,,,,,,True,False,Finlandiya,1751.9170367077397,False
2007,Kuzey Makedonya,Karolina,Mojot Svet,0.0,6.0,14.0,73.0,,,18.0,9.0,97.0,True,False,Finlandiya,2035.638140572801,False
2007,Slovenya,Alenka Gotar,Cvet Z Juga,0.0,7.0,15.0,66.0,,,25.0,7.0,140.0,True,False,Finlandiya,1711.6626318730403,False
2007,Letonya,Bonaparti.lv,Questa Notte,0.0,14.0,16.0,54.0,,,28.0,5.0,168.0,True,False,Finlandiya,361.2617369183143,False
2007,Finlandiya,Hanna Pakarinen,Leave Me Alone,,5.0,17.0,53.0,,,,,,True,True,Finlandiya,0.0,False
2007,İsveç,The Ark,The Worrying Kind,,12.0,18.0,51.0,,,,,,True,False,Finlandiya,395.8102514911714,False
2007,Almanya,Roger Cicero,Frauen Regieren Die Welt,,16.0,19.0,49.0,,,,,,True,False,Finlandiya,1105.567170582099,False
2007,İspanya,NASH,I Love You Mi Vida,,2.0,20.0,43.0,,,,,,True,False,Finlandiya,2947.9874796821273,False
2007,Litvanya,4Fun,Love Or Leave,,9.0,21.0,28.0,,,,,,True,False,Finlandiya,609.6858207748684,False
2007,Fransa,Les Fatals Picards,L'amour à La Française,,13.0,22.0,19.0,,,,,,True,False,Finlandiya,1908.3705635592291,False
2007,Birleşik Krallık,Scooch,Flying The Flag (for You),,19.0,22.0,19.0,,,,,,True,False,Finlandiya,1820.9053714052204,False
2007,İrlanda,Dervish,They Can't Stop The Spring,,4.0,24.0,5.0,,,,,,True,False,Finlandiya,2023.6305831358839,False
2007,Portekiz,Sabrina,Dança Comigo (vem Ser Feliz),0.0,,,,,,17.0,11.0,88.0,False,False,Finlandiya,3360.031434249754,False
2007,Andorra,Anonymous,Salvem El Món,0.0,,,,,,21.0,12.0,80.0,False,False,Finlandiya,2522.0355302155444,False
2007,İzlanda,Eiríkur Hauksson,Valentine Lost,0.0,,,,,,5.0,13.0,77.0,False,False,Finlandiya,2410.8020428010536,False
2007,Polonya,The Jet Set,Time To Party,0.0,,,,,,14.0,14.0,75.0,False,False,Finlandiya,915.3377700788037,False
2007,Kıbrıs,Evridiki,"Comme Ci, Comme ça",0.0,,,,,,3.0,15.0,65.0,False,False,Finlandiya,2845.2273083962336,False
2007,Hırvatistan,Dragonfly feat. Dado Topic,Vjerujem U Ljubav,0.0,,,,,,13.0,16.0,54.0,False,False,Finlandiya,1702.0519519144254,False
2007,Arnavutluk,Aida & Frederik Ndoci,Hear My Plea,0.0,,,,,,11.0,17.0,49.0,False,False,Finlandiya,2124.120057622549,False
2007,Norveç,Guri Schanke,Ven A Bailar Conmigo,0.0,,,,,,19.0,18.0,48.0,False,False,Finlandiya,786.9852566850991,False
2007,Danimarka,DQ,Drama Queen,0.0,,,,,,12.0,19.0,45.0,False,False,Finlandiya,882.5734406937115,False
2007,İsviçre,DJ BoBo,Vampires Are Alive,0.0,,,,,,8.0,20.0,40.0,False,False,Finlandiya,1857.432702003754,False
2007,Hollanda,Edsilia Rombley,On Top Of The World,0.0,,,,,,10.0,21.0,38.0,False,False,Finlandiya,1501.4209658512439,False
2007,Karadağ,Stevan Faddy,Ajde Kroci,0.0,,,,,,7.0,22.0,33.0,False,False,Finlandiya,2008.8502464903584,False
2007,Estonya,Gerli Padar,Partners In Crime,0.0,,,,,,23.0,22.0,33.0,False,False,Finlandiya,81.8647216435604,False
2007,İsrail,Teapacks,Push The Button,0.0,,,,,,2.0,24.0,17.0,False,False,Finlandiya,3246.609574742888,False
2007,Malta,Olivia Lewis,Vertigo,0.0,,,,,,20.0,25.0,15.0,False,False,Finlandiya,2800.110075921766,False
2007,Belçika,The KMG's,Love Power,0.0,,,,,,24.0,26.0,14.0,False,False,Finlandiya,1647.816954723723,False
2007,Avusturya,Eric Papilaya,Get A Life - Get Alive,0.0,,,,,,27.0,27.0,4.0,False,False,Finlandiya,1439.2547692465528,False
2007,Çek Cumhuriyeti,Kabát,Malá Dáma,0.0,,,,,,16.0,28.0,1.0,False,False,Finlandiya,1302.0550426342113,False
2008,Rusya,Dima Bilan,Believe,1.0,24.0,1.0,272.0,,,18.0,3.0,135.0,True,False,Sırbistan,1715.6649111159636,True
2008,Ukrayna,Ani Lorak,Shady Lady,2.0,18.0,2.0,230.0,,,4.0,1.0,152.0,True,False,Sırbistan,981.2297947993045,True
2008,Yunanistan,Kalomira,Secret Combination,1.0,21.0,3.0,218.0,,,19.0,1.0,156.0,True,False,Sırbistan,804.9760548925385,True
2008,Ermenistan,Sirusho,"Qele, Qele",1.0,5.0,4.0,199.0,,,14.0,2.0,139.0,True,False,Sırbistan,2030.181191372807,True
2008,Norveç,Maria,Hold On Be Strong,1.0,25.0,5.0,182.0,,,9.0,4.0,106.0,True,False,Sırbistan,1801.3331924787178,True
2008,Sırbistan,Jelena Tomašević feat. Bora Dugic,Oro,,23.0,6.0,160.0,,,,,,True,True,Sırbistan,0.0,True
2008,Türkiye,Mor ve Ötesi,Deli,2.0,12.0,7.0,138.0,,,3.0,7.0,85.0,True,False,Sırbistan,1152.271506306506,True
2008,Azerbaycan,Elnur & Samir,Day After Day,1.0,20.0,8.0,132.0,,,7.0,6.0,96.0,True,False,Sırbistan,2442.7198082414548,True
2008,İsrail,Boaz,The Fire In Your Eyes,1.0,7.0,9.0,124.0,,,2.0,5.0,104.0,True,False,Sırbistan,1931.4692331406427,True
2008,Bosna-Hersek,Laka,Pokušaj,1.0,6.0,10.0,110.0,,,13.0,9.0,72.0,True,False,Sırbistan,192.41647415964476,True
2008,Gürcistan,Diana Gurtskaya,Peace Will Come,2.0,17.0,11.0,83.0,,,14.0,5.0,107.0,True,False,Sırbistan,1992.7358802257907,False
2008,Letonya,Pirates Of The Sea,Wolves Of The Sea,2.0,14.0,12.0,83.0,,,10.0,6.0,86.0,True,False,Sırbistan,1375.8023914391154,False
2008,Portekiz,Vânia Fernandes,Senhora Do Mar (Negras Águas),2.0,13.0,13.0,69.0,,,19.0,2.0,120.0,True,False,Sırbistan,2529.260452552087,False
2008,İzlanda,Euroband,This Is My Life,2.0,11.0,14.0,64.0,,,1.0,8.0,68.0,True,False,Sırbistan,3373.530265591413,False
2008,Danimarka,Simon Mathew,All Night Long,2.0,16.0,15.0,60.0,,,13.0,3.0,112.0,True,False,Sırbistan,1332.3221537868583,False
2008,İspanya,Rodolfo Chikilicuatre,Baila El Chiki Chiki,,22.0,16.0,55.0,,,,,,True,False,Sırbistan,2027.1621912413682,False
2008,Arnavutluk,Olta Boka,Zemrën E Lamë Peng,2.0,3.0,17.0,55.0,,,6.0,9.0,67.0,True,False,Sırbistan,388.120382644383,False
2008,İsveç,Charlotte Perrelli,Hero,2.0,15.0,18.0,47.0,,,2.0,12.0,54.0,True,False,Sırbistan,1624.679853470299,False
2008,Fransa,Sébastien Tellier,Divine,,19.0,19.0,47.0,,,,,,True,False,Sırbistan,1445.4377301560178,False
2008,Romanya,Nico & Vlad,Pe-o Margine De Lume,1.0,1.0,20.0,45.0,,,17.0,7.0,94.0,True,False,Sırbistan,448.95020464164884,False
2008,Hırvatistan,Kraljevi Ulice & 75 Cents,Romanca,2.0,9.0,21.0,44.0,,,11.0,4.0,112.0,True,False,Sırbistan,367.4927124092409,False
2008,Finlandiya,Teräsbetoni,Missä Miehet Ratsastaa,1.0,8.0,22.0,35.0,,,16.0,8.0,79.0,True,False,Sırbistan,1736.0130823302377,False
2008,Almanya,No Angels,Disappear,,4.0,23.0,14.0,,,,,,True,False,Sırbistan,1002.3972556545572,False
2008,Polonya,Isis Gee,For Life,1.0,10.0,24.0,14.0,,,10.0,10.0,42.0,True,False,Sırbistan,828.3111506958423,False
2008,Birleşik Krallık,Andy Abraham,Even If,,2.0,25.0,14.0,,,,,,True,False,Sırbistan,1691.978781376608,False
2008,Kuzey Makedonya,"Tamara, Vrčak & Adrijan",Let Me Love You,2.0,,,,,,18.0,10.0,64.0,False,False,Sırbistan,321.25127288960186,False
2008,Bulgaristan,Deep Zone & Balthazar,"DJ, Take Me Away",2.0,,,,,,12.0,11.0,56.0,False,False,Sırbistan,327.3117776455301,False
2008,İsviçre,Paolo Meneguzzi,Era Stupendo,2.0,,,,,,7.0,13.0,47.0,False,False,Sırbistan,1033.442067420929,False
2008,Malta,Morena,Vodka,2.0,,,,,,16.0,14.0,38.0,False,False,Sırbistan,1108.552104316388,False
2008,Slovenya,Rebeka Dremelj,Vrag Naj Vzame,1.0,,,,,,8.0,11.0,36.0,False,False,Sırbistan,484.46005303952586,False
2008,Moldova,Geta Burlacu,A Century Of Love,1.0,,,,,,4.0,12.0,36.0,False,False,Sırbistan,695.5856286141579,False
2008,Kıbrıs,Evdokia Kadi,Femme Fatale,2.0,,,,,,17.0,15.0,36.0,False,False,Sırbistan,1530.7753550150176,False
2008,Litvanya,Jeronimas Milius,Nomads In The Night,2.0,,,,,,5.0,16.0,30.0,False,False,Sırbistan,1153.5584072661181,False
2008,Hollanda,Hind,Your Heart Belongs To Me,1.0,,,,,,15.0,13.0,27.0,False,False,Sırbistan,1416.0367080132182,False
2008,Belarus,Ruslan Alehno,Hasta La Vista,2.0,,,,,,9.0,17.0,27.0,False,False,Sırbistan,1135.40645509566,False
2008,Karadağ,Stefan Filipović,Zauvijek Volim Te,1.0,,,,,,1.0,14.0,23.0,False,False,Sırbistan,278.3066540291145,False
2008,İrlanda,Dustin the Turkey,Irelande Douze Pointe,1.0,,,,,,11.0,15.0,22.0,False,False,Sırbistan,2148.8584012045844,False
2008,Andorra,Gisela,Casanova,1.0,,,,,,12.0,16.0,22.0,False,False,Sırbistan,1540.370344081318,False
2008,Belçika,Ishtar,O Julissi,1.0,,,,,,6.0,17.0,16.0,False,False,Sırbistan,1373.8821753465081,False
2008,Çek Cumhuriyeti,Tereza Kerndlová,Have Some Fun,2.0,,,,,,8.0,18.0,9.0,False,False,Sırbistan,741.3391421258682,False
2008,Estonya,Kreisiraadio,Leto Svet,1.0,,,,,,3.0,18.0,8.0,False,False,Sırbistan,1654.3982595727464,False
2008,Macaristan,Csézy,Candlelight,2.0,,,,,,15.0,19.0,6.0,False,False,Sırbistan,320.30410555082534,False
2008,San Marino,Miodio,Complice,1.0,,,,,,5.0,19.0,5.0,False,False,Sırbistan,642.6588061312312,False
2009,Norveç,Alexander Rybak,Fairytale,2.0,20.0,1.0,387.0,,,6.0,1.0,201.0,True,False,Rusya,1643.7499067698775,True
2009,İzlanda,Yohanna,Is It True?,1.0,7.0,2.0,218.0,,,12.0,1.0,174.0,True,False,Rusya,3302.7476796793776,True
2009,Azerbaycan,AySel & Arash,Always,2.0,11.0,3.0,207.0,,,12.0,2.0,180.0,True,False,Rusya,1926.7779214132897,True
2009,Türkiye,Hadise,Düm Tek Tek,1.0,18.0,4.0,177.0,,,9.0,2.0,172.0,True,False,Rusya,1793.5608149946738,True
2009,Birleşik Krallık,Jade Ewen,It's My Time,,23.0,5.0,173.0,,,,,,True,False,Rusya,2500.772606080655,True
2009,Estonya,Urban Symphony,Rändajad,2.0,15.0,6.0,129.0,,,18.0,3.0,115.0,True,False,Rusya,867.7764592691553,True
2009,Yunanistan,Sakis Rouvas,This Is Our Night,2.0,8.0,7.0,120.0,,,13.0,4.0,110.0,True,False,Rusya,2230.8803941448336,True
2009,Fransa,Patricia Kaas,Et S'il Fallait Le Faire,,3.0,8.0,107.0,,,,,,True,False,Rusya,2486.323582474517,True
2009,Bosna-Hersek,Regina,Bistra Voda,1.0,12.0,9.0,106.0,,,18.0,3.0,125.0,True,False,Rusya,1898.0402095510535,True
2009,Ermenistan,Inga & Anush,Jan Jan,1.0,9.0,10.0,92.0,,,6.0,5.0,99.0,True,False,Rusya,1803.5428638690867,True
2009,Rusya,Anastasia Prikhodko,Mamo,,10.0,11.0,91.0,,,,,,True,True,Rusya,0.0,False
2009,Ukrayna,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),2.0,21.0,12.0,76.0,,,17.0,6.0,80.0,True,False,Rusya,755.5220154802621,False
2009,Danimarka,Brinck,Believe Again,2.0,16.0,13.0,74.0,,,9.0,8.0,69.0,True,False,Rusya,1560.5111659685604,False
2009,Moldova,Nelly Ciobanu,Hora Din Moldova,2.0,13.0,14.0,69.0,,,15.0,5.0,106.0,True,False,Rusya,1144.3658253874296,False
2009,Portekiz,Flor-de-lis,Todas As Ruas Do Amor,1.0,6.0,15.0,57.0,,,16.0,8.0,70.0,True,False,Rusya,3905.5626601473887,False
2009,İsrail,Noa & Mira Awad,There Must Be Another Way,1.0,2.0,16.0,53.0,,,10.0,7.0,75.0,True,False,Rusya,2671.9159648419413,False
2009,Arnavutluk,Kejsi Tola,Carry Me In Your Dreams,2.0,19.0,17.0,48.0,,,16.0,7.0,73.0,True,False,Rusya,2058.2797553398186,False
2009,Hırvatistan,Igor Cukrov feat. Andrea,Lijepa Tena,2.0,5.0,18.0,45.0,,,1.0,13.0,33.0,True,False,Rusya,1867.6307956523037,False
2009,Romanya,Elena,The Balkan Girls,1.0,22.0,19.0,40.0,,,14.0,9.0,67.0,True,False,Rusya,1498.9473300042305,False
2009,Almanya,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,,17.0,20.0,35.0,,,,,,True,False,Rusya,1609.2812870314053,False
2009,İsveç,Malena Ernman,La Voix,1.0,4.0,21.0,33.0,,,5.0,4.0,105.0,True,False,Rusya,1227.4426626648965,False
2009,Malta,Chiara,What If We,1.0,14.0,22.0,31.0,,,17.0,6.0,86.0,True,False,Rusya,2814.4535502590497,False
2009,Litvanya,Sasha Son,Love,2.0,1.0,23.0,23.0,,,14.0,9.0,66.0,True,False,Rusya,790.4435958195801,False
2009,İspanya,Soraya,La Noche Es Para Mí (The Night Is For Me),,25.0,24.0,23.0,,,,,,True,False,Rusya,3439.8961950643234,False
2009,Finlandiya,Waldo's People,Lose Control,1.0,24.0,25.0,22.0,,,15.0,12.0,42.0,True,False,Rusya,892.7544057894416,False
2009,Sırbistan,Marko Kon & Milaan,Cipela,2.0,,,,,,4.0,10.0,60.0,False,False,Rusya,1715.6649111159636,False
2009,İrlanda,Sinéad Mulvey & Black Daisy,Et Cetera,2.0,,,,,,2.0,11.0,52.0,False,False,Rusya,2794.688195995596,False
2009,Kuzey Makedonya,Next Time,Neshto Shto Ke Ostane,1.0,,,,,,13.0,10.0,45.0,False,False,Rusya,1924.7316999951565,False
2009,Karadağ,Andrea Demirović,Just Get Out of My Life,1.0,,,,,,1.0,11.0,44.0,False,False,Rusya,1982.042949864689,False
2009,Polonya,Lidia Kopania,I Don't Wanna Leave,2.0,,,,,,5.0,12.0,43.0,False,False,Rusya,1150.8389645376164,False
2009,Kıbrıs,Christina Metaxa,Firefly,2.0,,,,,,7.0,14.0,32.0,False,False,Rusya,2311.318723139905,False
2009,Belarus,Petr Elfimov,Eyes That Never Lie,1.0,,,,,,4.0,13.0,25.0,False,False,Rusya,675.12440783981,False
2009,İsviçre,Lovebugs,The Highest Heights,1.0,,,,,,8.0,14.0,15.0,False,False,Rusya,2288.340511176307,False
2009,Macaristan,Zoli Ádok,Dance With Me,2.0,,,,,,11.0,15.0,16.0,False,False,Rusya,1568.8445245112991,False
2009,Slovenya,Quartissimo feat. Martina,Love Symphony,2.0,,,,,,10.0,16.0,14.0,False,False,Rusya,1931.5201410260927,False
2009,Hollanda,The Toppers,Shine,2.0,,,,,,19.0,17.0,11.0,False,False,Rusya,2147.34045374749,False
2009,Andorra,Susanne Georgi,La Teva Decisió (Get A Life),1.0,,,,,,7.0,15.0,8.0,False,False,Rusya,2963.4083937710006,False
2009,Slovakya,Kamil Mikulčík & Nela Pocisková,Leť Tmou,2.0,,,,,,8.0,18.0,8.0,False,False,Rusya,1630.9050420195176,False
2009,Bulgaristan,Krassimir Avramov,Illusion,1.0,,,,,,11.0,16.0,7.0,False,False,Rusya,1776.8944531663328,False
2009,Letonya,Intars Busulis,Probka,2.0,,,,,,3.0,19.0,7.0,False,False,Rusya,841.6093572101794,False
2009,Belçika,Copycat,,1.0,,,,,,3.0,17.0,1.0,False,False,Rusya,2253.2843962202346,False
2009,Çek Cumhuriyeti,Gipsy.cz,Aven Romale,1.0,,,,,,2.0,18.0,0.0,False,False,Rusya,1667.2828889365535,False
2010,Almanya,Lena,Satellite,,22.0,1.0,246.0,,,,,,True,False,Norveç,837.7350584592342,True
2010,Türkiye,maNga,We Could Be The Same,2.0,14.0,2.0,170.0,,,17.0,1.0,118.0,True,False,Norveç,2699.91768230757,True
2010,Romanya,Paula Seling & Ovi,Playing With Fire,2.0,19.0,3.0,162.0,,,10.0,4.0,104.0,True,False,Norveç,2003.6663902235591,True
2010,Danimarka,Chanée & N'evergreen,In A Moment Like This,2.0,25.0,4.0,149.0,,,4.0,5.0,101.0,True,False,Norveç,482.5145373969692,True
2010,Azerbaycan,Safura,Drip Drop,2.0,1.0,5.0,145.0,,,7.0,2.0,113.0,True,False,Norveç,3448.3251205856645,True
2010,Belçika,Tom Dice,Me And My Guitar,1.0,7.0,6.0,143.0,,,10.0,1.0,167.0,True,False,Norveç,1084.3291672127093,True
2010,Ermenistan,Eva Rivas,Apricot Stone,2.0,21.0,7.0,141.0,,,2.0,6.0,83.0,True,False,Norveç,3197.1915203593408,True
2010,Yunanistan,Giorgos Alkaios & Friends,OPA,1.0,11.0,8.0,140.0,,,13.0,2.0,133.0,True,False,Norveç,2605.3495352133896,True
2010,Gürcistan,Sofia Nizharadze,Shine,2.0,13.0,9.0,136.0,,,16.0,3.0,106.0,True,False,Norveç,3073.1082550536794,True
2010,Ukrayna,Alyosha,Sweet People,2.0,17.0,10.0,108.0,,,8.0,7.0,77.0,True,False,Norveç,1626.6102245622128,True
2010,Rusya,Peter Nalitch & Friends,Lost And Forgotten,1.0,20.0,11.0,90.0,,,2.0,7.0,74.0,True,False,Norveç,1643.7499067698775,False
2010,Fransa,Jessy Matador,Allez Olla Olé,,18.0,12.0,82.0,,,,,,True,False,Norveç,1341.239838205445,False
2010,Sırbistan,Milan Stanković,Ovo Je Balkan,1.0,8.0,13.0,72.0,,,7.0,5.0,79.0,True,False,Norveç,1801.3331924787178,False
2010,İsrail,Harel Skaat,Milim,2.0,24.0,14.0,71.0,,,3.0,8.0,71.0,True,False,Norveç,3611.377694671214,False
2010,İspanya,Daniel Diges,Algo Pequeñito,,2.0,15.0,68.0,,,,,,True,False,Norveç,2387.078474686203,False
2010,Arnavutluk,Juliana Pasha,It's All About You,1.0,15.0,16.0,62.0,,,12.0,6.0,76.0,True,False,Norveç,2158.1460597025157,False
2010,Bosna-Hersek,Vukašin Brajić,Thunder and Lightning,1.0,6.0,17.0,51.0,,,8.0,8.0,59.0,True,False,Norveç,1857.5655661779474,False
2010,Portekiz,Filipa Azevedo,Há Dias Assim,1.0,23.0,18.0,43.0,,,14.0,4.0,89.0,True,False,Norveç,2737.8438617105785,False
2010,İzlanda,Hera Björk,Je Ne Sais Quoi,1.0,16.0,19.0,41.0,,,17.0,3.0,123.0,True,False,Norveç,1741.1895787372437,False
2010,Norveç,Didrik Solli-Tangen,My Heart Is Yours,,3.0,20.0,35.0,,,,,,True,True,Norveç,0.0,False
2010,Kıbrıs,Jon Lilygreen & The Islanders,Life Looks Better In Spring,2.0,5.0,21.0,27.0,,,14.0,10.0,67.0,True,False,Norveç,3196.9752868670234,False
2010,Moldova,Sunstroke Project & Olia Tira,Run Away,1.0,4.0,22.0,27.0,,,1.0,10.0,52.0,True,False,Norveç,1856.881198342188,False
2010,İrlanda,Niamh Kavanagh,It's For You,2.0,10.0,23.0,25.0,,,12.0,9.0,67.0,True,False,Norveç,1264.7356644608708,False
2010,Belarus,3+2,Butterflies,1.0,9.0,24.0,18.0,,,16.0,9.0,59.0,True,False,Norveç,1215.14358780861,False
2010,Birleşik Krallık,Josh,That Sounds Good To Me,,12.0,25.0,10.0,,,,,,True,False,Norveç,1153.1785636744903,False
2010,İsveç,Anna Bergendahl,This Is My Life,2.0,,,,,,6.0,11.0,62.0,False,False,Norveç,416.43828023952125,False
2010,Finlandiya,Kuunkuiskaajat,Työlki Ellää,1.0,,,,,,5.0,11.0,49.0,False,False,Norveç,786.9852566850991,False
2010,Litvanya,InCulto,Eastern European Funk,2.0,,,,,,1.0,12.0,44.0,False,False,Norveç,1044.7584862349054,False
2010,Malta,Thea Garrett,My Dream,1.0,,,,,,11.0,12.0,45.0,False,False,Norveç,2683.4448906197963,False
2010,Polonya,Marcin Mroziński,Legenda,1.0,,,,,,9.0,13.0,44.0,False,False,Norveç,1062.7407158980368,False
2010,Estonya,Malcolm Lincoln,Siren,1.0,,,,,,3.0,14.0,39.0,False,False,Norveç,786.2581803315136,False
2010,Kuzey Makedonya,Gjoko Taneski,Jas Ja Imam Silata,1.0,,,,,,15.0,15.0,37.0,False,False,Norveç,2122.204879472581,False
2010,Hırvatistan,Feminnem,Lako Je Sve,2.0,,,,,,15.0,13.0,33.0,False,False,Norveç,1605.4552770811124,False
2010,Hollanda,Sieneke,Ik Ben Verliefd (Sha-la-lie),2.0,,,,,,9.0,14.0,29.0,False,False,Norveç,912.5536049447944,False
2010,Slovakya,Kristina Pelakova,Horehronie,1.0,,,,,,4.0,16.0,24.0,False,False,Norveç,1370.515867922432,False
2010,Bulgaristan,Miro,Angel Si Ti,2.0,,,,,,13.0,15.0,19.0,False,False,Norveç,2095.4825247189597,False
2010,Letonya,Aisha,What For?,1.0,,,,,,6.0,17.0,11.0,False,False,Norveç,842.6378430610632,False
2010,Slovenya,Ansambel Žlindra & Kalamari,Narodnozabavni Rock,2.0,,,,,,11.0,16.0,6.0,False,False,Norveç,1559.855123745589,False
2010,İsviçre,Michael von der Heide,Il Pleut de L'Or,2.0,,,,,,5.0,17.0,2.0,False,False,Norveç,1457.1201279398003,False
2011,Azerbaycan,Ell/Nikki,Running Scared,1.0,19.0,1.0,221.0,,,18.0,2.0,122.0,True,False,Almanya,3057.806443954444,True
2011,İtalya,Raphael Gualazzi,Madness Of Love,,12.0,2.0,189.0,,,,,,True,False,Almanya,1182.8200874108213,True
2011,İsveç,Eric Saade,Popular,2.0,7.0,3.0,185.0,,,8.0,1.0,155.0,True,False,Almanya,810.7215835619496,True
2011,Ukrayna,Mika Newton,Angel,2.0,23.0,4.0,159.0,,,6.0,6.0,81.0,True,False,Almanya,1204.5628895395816,True
2011,Danimarka,A Friend In London,New Tomorrow,2.0,3.0,5.0,134.0,,,18.0,2.0,135.0,True,False,Almanya,355.51192912991974,True
2011,Bosna-Hersek,Dino Merlin,Love In Rewind,2.0,2.0,6.0,125.0,,,1.0,5.0,109.0,True,False,Almanya,1031.4555936193217,True
2011,Yunanistan,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,1.0,9.0,7.0,120.0,,,19.0,1.0,133.0,True,False,Almanya,1803.5294547305612,True
2011,İrlanda,Jedward,Lipstick,2.0,6.0,8.0,119.0,,,19.0,8.0,68.0,True,False,Almanya,1316.640024914727,True
2011,Gürcistan,Eldrine,One More Day,1.0,25.0,9.0,110.0,,,9.0,6.0,74.0,True,False,Almanya,2632.906642578983,True
2011,Almanya,Lena,Taken By A Stranger,,16.0,10.0,107.0,,,,,,True,True,Almanya,0.0,True
2011,Birleşik Krallık,Blue,I Can,,14.0,11.0,100.0,,,,,,True,False,Almanya,931.318778737352,False
2011,Moldova,Zdob și Zdub,So Lucky,2.0,15.0,12.0,97.0,,,7.0,10.0,54.0,True,False,Almanya,1264.537503873154,False
2011,Slovenya,Maja Keuc,No One,2.0,20.0,13.0,96.0,,,13.0,3.0,112.0,True,False,Almanya,722.7920356780841,False
2011,Sırbistan,Nina,Čaroban,1.0,24.0,14.0,85.0,,,6.0,8.0,67.0,True,False,Almanya,1002.3972556545572,False
2011,Fransa,Amaury Vassili,Sognu,,11.0,15.0,82.0,,,,,,True,False,Almanya,877.0899531760446,False
2011,Rusya,Alexej Vorobjov,Get You,1.0,10.0,16.0,77.0,,,7.0,9.0,64.0,True,False,Almanya,1609.2812870314053,False
2011,Romanya,Hotel FM,Change,2.0,17.0,17.0,77.0,,,14.0,4.0,111.0,True,False,Almanya,1294.8516336658656,False
2011,Avusturya,Nadine Beiler,The Secret Is Love,2.0,18.0,18.0,64.0,,,2.0,7.0,69.0,True,False,Almanya,523.3943469636869,False
2011,Litvanya,Evelina Sašenko,C'est Ma Vie,1.0,4.0,19.0,63.0,,,17.0,5.0,81.0,True,False,Almanya,818.9485287709764,False
2011,İzlanda,Sjonni's Friends,Coming Home,1.0,21.0,20.0,61.0,,,14.0,4.0,100.0,True,False,Almanya,2381.617427582829,False
2011,Finlandiya,Paradise Oskar,Da Da Dam,1.0,1.0,21.0,57.0,,,10.0,3.0,103.0,True,False,Almanya,1105.567170582099,False
2011,Macaristan,Kati Wolf,What About My Dreams?,1.0,5.0,22.0,53.0,,,15.0,7.0,72.0,True,False,Almanya,688.0388697709806,False
2011,İspanya,Lucía Pérez,Que Me Quiten Lo Bailao,,22.0,23.0,50.0,,,,,,True,False,Almanya,1868.4052348207445,False
2011,Estonya,Getter Jaani,Rockefeller Street,2.0,8.0,24.0,44.0,,,15.0,9.0,60.0,True,False,Almanya,1041.6074389257474,False
2011,İsviçre,Anna Rossinelli,In Love For A While,1.0,13.0,25.0,19.0,,,8.0,10.0,55.0,True,False,Almanya,752.0725719794682,False
2011,Malta,Glen Vella,One Life,1.0,,,,,,11.0,11.0,54.0,False,False,Almanya,1850.1188202117673,False
2011,Ermenistan,Emmy,Boom Boom,1.0,,,,,,4.0,12.0,54.0,False,False,Almanya,2723.158593390535,False
2011,Belçika,Witloof Bay,With Love Baby,2.0,,,,,,4.0,11.0,53.0,False,False,Almanya,650.4418546880279,False
2011,Türkiye,Yüksek Sadakat,Live It Up,1.0,,,,,,5.0,13.0,47.0,False,False,Almanya,2037.416427842736,False
2011,Arnavutluk,Aurela Gaçe,Feel The Passion,1.0,,,,,,3.0,14.0,47.0,False,False,Almanya,1335.0725925945537,False
2011,Bulgaristan,Poli Genova,Na Inat,2.0,,,,,,10.0,12.0,48.0,False,False,Almanya,1318.4623385080392,False
