aday_id,yorunge_periyodu_gun,transit_suresi_saat,transit_derinligi_ppm,gezegen_yaricap_dunya,yildiz_sicakligi_K,yildiz_yaricap_gunes,denge_sicakligi_K,sinyal_gurultu_orani,yasanabilir_bolge,gercek_gezegen,durum
K00235.01,5.63252508,2.1448,634.4,2.04,5216.0,0.804,844.0,70.9,False,True,Gerçek Gezegen
K02276.01,1.442592305,2.9698,166.0,2.67,7216.0,2.043,2700.0,27.1,False,True,Gerçek Gezegen
K02278.01,14.17222858,2.6297,246.8,2.39,5845.0,1.314,873.0,24.5,False,True,Gerçek Gezegen
K02278.02,4.92031063,4.046,81.0,1.18,5845.0,1.314,1242.0,17.7,False,True,Gerçek Gezegen
K02358.01,56.4931698,8.704,411.9,4.43,6160.0,2.046,681.0,31.8,False,True,Gerçek Gezegen
K00241.01,13.82142084,3.985,765.2,2.2,4983.0,0.651,560.0,75.3,False,True,Gerçek Gezegen
K02360.01,2.30367952,3.0898,136.4,1.3,6191.0,0.865,1384.0,18.9,False,False,Yanlış Pozitif
K02361.01,5.78387049,1.3966,413.3,2.07,6063.0,1.012,1051.0,20.7,False,True,Gerçek Gezegen
K02362.02,11.08507658,1.751,771.8,2.5,5080.0,0.793,665.0,17.7,False,True,Gerçek Gezegen
K02119.01,0.571038347,1.1267,242.1,1.65,5132.0,0.886,1897.0,38.2,False,True,Gerçek Gezegen
K02120.01,8.77425786,2.2245,239.6,1.75,5146.0,0.905,771.0,22.3,False,True,Gerçek Gezegen
K02121.01,4.51005082,2.1533,294.8,1.74,5362.0,1.032,1063.0,21.5,False,True,Gerçek Gezegen
K02122.01,37.6468519,6.344,427.4,5.37,5443.0,2.652,787.0,31.0,False,True,Gerçek Gezegen
K02123.01,29.4557841,3.451,533.8,2.19,6036.0,0.949,598.0,26.6,False,True,Gerçek Gezegen
K00232.01,12.466004437,5.0066,2232.1,5.65,6038.0,1.191,897.0,304.6,False,True,Gerçek Gezegen
K02193.01,2.361724472,1.2167,587.0,1.53,4478.0,0.651,922.0,34.6,False,True,Gerçek Gezegen
K02194.01,34.7630543,4.309,293.7,1.75,5670.0,0.95,554.0,24.0,False,True,Gerçek Gezegen
K02195.01,20.0545282,7.173,305.4,2.63,6056.0,1.209,755.0,26.9,False,True,Gerçek Gezegen
K02200.01,3.17059731,1.6686,325.4,1.69,5431.0,0.843,1080.0,20.1,False,True,Gerçek Gezegen
K02279.01,27.0142622,5.385,287.6,2.0,5949.0,1.184,677.0,25.5,False,True,Gerçek Gezegen
K02279.02,12.50945798,3.479,155.3,1.54,5949.0,1.184,875.0,16.0,False,True,Gerçek Gezegen
K02280.01,26.0203329,4.965,1164.4,4.53,5624.0,1.244,675.0,23.7,False,True,Gerçek Gezegen
K02281.01,0.769854899,1.0243,109.6,0.93,5173.0,0.822,1650.0,28.7,False,True,Gerçek Gezegen
K02282.01,6.89226333,2.4921,214.4,2.13,5862.0,1.463,1156.0,22.4,False,True,Gerçek Gezegen
K02368.01,8.07127043,2.393,318.2,1.53,5766.0,0.853,856.0,16.9,False,True,Gerçek Gezegen
K02369.01,11.01819178,4.635,545.7,2.64,6075.0,0.969,840.0,22.0,False,True,Gerçek Gezegen
K00241.02,30.9505927,5.394,301.4,1.51,4983.0,0.651,428.0,23.2,False,True,Gerçek Gezegen
K00224.01,3.979867514,2.3607,907.6,26.5,6032.0,0.973,1173.0,65.2,False,False,Yanlış Pozitif
K02125.01,23.3593589,5.389,570.1,2.98,6244.0,1.009,684.0,25.9,False,True,Gerçek Gezegen
K02126.01,9.69310837,2.734,1130.7,2.12,4818.0,0.618,609.0,30.4,False,True,Gerçek Gezegen
K02128.01,24.2598301,3.897,1540.3,25.42,5485.0,0.805,547.0,26.3,False,False,Yanlış Pozitif
K02201.01,116.5214317,5.577,771.5,44.41,6056.0,1.411,457.0,25.0,False,False,Yanlış Pozitif
K02202.01,0.813166357,1.4122,173.5,1.14,5237.0,0.887,1693.0,34.8,False,True,Gerçek Gezegen
K02204.01,10.86062378,2.2874,189.6,2.09,6455.0,1.496,1108.0,20.7,False,True,Gerçek Gezegen
K02205.01,24.08632177,2.236,1041.7,2.78,4973.0,0.768,500.0,18.0,False,True,Gerçek Gezegen
K02283.01,17.40208965,3.745,616.5,16.37,4098.0,0.615,422.0,20.9,False,False,Yanlış Pozitif
K02285.01,37.9456138,4.093,1032.9,2.79,5861.0,0.865,515.0,24.0,False,True,Gerçek Gezegen
K00027.01,1.141877248,4.33931,309490.0,88.62,6158.0,1.368,2184.0,2036.3,False,False,Yanlış Pozitif
K00236.01,5.77675928,6.789,3522.5,32.77,5544.0,0.875,954.0,141.4,False,False,Yanlış Pozitif
K02286.01,24.1738244,3.056,532.6,2.21,5468.0,0.968,595.0,21.5,False,True,Gerçek Gezegen
K02353.01,5.186737262,0.8023,712.7,2.4,5230.0,0.777,860.0,25.7,False,True,Gerçek Gezegen
K02355.01,1.217000383,1.3285,459.8,1.58,4859.0,0.757,1314.0,26.5,False,True,Gerçek Gezegen
K02356.01,13.6823798,4.153,179.6,1.43,6102.0,1.026,802.0,17.0,False,True,Gerçek Gezegen
K02129.01,8.79618433,3.3781,286.3,1.77,6142.0,1.046,938.0,27.0,False,True,Gerçek Gezegen
K02130.01,16.85592593,2.309,871.5,1.7,3967.0,0.587,408.0,19.5,False,True,Gerçek Gezegen
K02131.01,14.36270451,4.564,349.4,2.31,6643.0,1.216,918.0,26.8,False,True,Gerçek Gezegen
K02132.01,69.8956789,5.276,548.4,3.04,5390.0,1.104,442.0,21.9,False,True,Gerçek Gezegen
K02133.01,6.24667547,11.261,396.8,14.93,4604.0,6.221,1902.0,63.6,False,True,Gerçek Gezegen
K02208.01,2.344512589,1.4116,58.9,0.97,5821.0,1.132,1471.0,21.9,False,True,Gerçek Gezegen
K00232.02,5.766165573,3.8314,364.8,2.27,6038.0,1.191,1159.0,65.6,False,True,Gerçek Gezegen
K02209.01,18.3027235,8.262,186.7,2.72,5528.0,1.839,902.0,24.7,False,True,Gerçek Gezegen
K02210.01,2.888904439,1.6043,402.2,1.68,4895.0,0.759,976.0,23.7,False,True,Gerçek Gezegen
K02212.01,17.14648756,4.2354,440.3,3.64,5559.0,1.412,811.0,28.3,False,True,Gerçek Gezegen
K02287.01,16.09227518,2.1072,128.5,0.98,4657.0,0.67,503.0,18.1,False,True,Gerçek Gezegen
K02289.01,62.7843981,4.81,325.0,2.28,6053.0,1.26,530.0,21.1,False,True,Gerçek Gezegen
K02290.01,91.500873,4.842,704.8,1.82,5051.0,0.706,310.0,22.6,True,True,Gerçek Gezegen
K02291.01,44.2993483,4.298,797.9,2.68,5316.0,0.915,463.0,23.2,False,True,Gerçek Gezegen
K02363.01,3.13877646,1.6663,174.1,0.97,5242.0,0.722,1022.0,20.2,False,True,Gerçek Gezegen
K02365.01,35.9682692,2.839,269.7,2.95,5883.0,1.529,674.0,21.0,False,True,Gerçek Gezegen
K02366.01,25.3690868,4.746,110.1,1.67,6126.0,1.406,755.0,21.6,False,True,Gerçek Gezegen
K02367.01,6.89213244,1.725,82.0,1.35,6164.0,1.446,1177.0,17.3,False,True,Gerçek Gezegen
K02134.01,42.3006282,4.372,507.9,2.54,5852.0,1.129,558.0,23.8,False,True,Gerçek Gezegen
K00225.01,0.838597429,1.68668,2482.1,44.67,6366.0,1.236,2278.0,303.7,False,False,Yanlış Pozitif
K02135.01,55.1866213,9.133,375.5,2.47,6178.0,1.267,568.0,36.2,False,True,Gerçek Gezegen
K02136.01,1.728528176,3.682,197.6,5.07,6153.0,3.279,2720.0,26.2,False,False,Yanlış Pozitif
K02137.01,14.97436238,2.4461,265.4,1.28,5311.0,0.8,631.0,24.9,False,True,Gerçek Gezegen
K02213.01,3.97076603,1.814,349.2,1.6,5178.0,0.778,958.0,23.9,False,True,Gerçek Gezegen
K02214.01,2.352273912,1.7389,318.6,1.29,4816.0,0.748,1019.0,20.4,False,True,Gerçek Gezegen
K02215.01,22.0425953,61.2018,348.0,28.78,5974.0,1.26,760.0,90.4,False,False,Yanlış Pozitif
K02216.01,23.34036251,2.054,615.1,2.21,5530.0,0.892,601.0,18.2,False,True,Gerçek Gezegen
K02293.01,15.03366411,3.272,374.9,1.7,5523.0,0.891,669.0,22.2,False,True,Gerçek Gezegen
K02296.01,106.247882,13.78,397.4,2.01,5679.0,0.972,377.0,24.0,False,True,Gerçek Gezegen
K00237.01,8.508333104,3.4559,646.5,2.6,5767.0,1.03,909.0,93.4,False,True,Gerçek Gezegen
K02371.01,12.94123564,4.636,328.8,1.7,6119.0,0.938,795.0,22.1,False,True,Gerçek Gezegen
K02372.01,5.349791,4.279,88.8,1.29,6074.0,1.183,1156.0,23.3,False,True,Gerçek Gezegen
K02374.01,5.26211833,3.244,194.5,1.95,5587.0,1.309,1166.0,20.3,False,True,Gerçek Gezegen
K02374.02,12.1628195,2.3161,306.3,3.14,5587.0,1.309,882.0,15.2,False,True,Gerçek Gezegen
K02138.01,23.5541012,7.3,95.2,2.33,9565.0,2.286,1381.0,29.9,False,True,Gerçek Gezegen
K02140.01,41.6977582,5.513,684.8,2.26,5730.0,0.87,488.0,27.7,False,True,Gerçek Gezegen
K02143.01,4.79029482,2.7219,142.0,1.01,5412.0,0.843,938.0,23.1,False,True,Gerçek Gezegen
K02144.01,38.6715843,5.532,599.3,2.45,5432.0,0.913,502.0,25.2,False,True,Gerçek Gezegen
K02145.01,8.32651854,5.483,267.9,1.8,6057.0,1.0,938.0,27.2,False,True,Gerçek Gezegen
K02218.01,5.53533152,2.793,260.6,1.75,5588.0,1.1,1054.0,27.5,False,True,Gerçek Gezegen
K02218.02,16.7261969,2.708,194.9,1.56,5588.0,1.1,729.0,11.6,False,True,Gerçek Gezegen
K00232.03,21.58752788,4.4968,336.8,2.18,6038.0,1.191,747.0,34.0,False,True,Gerçek Gezegen
K02219.01,3.757294695,0.9269,273.3,1.23,4901.0,0.716,877.0,23.4,False,True,Gerçek Gezegen
K02220.01,3.2828024,3.2532,142.5,1.79,5640.0,1.515,1467.0,24.4,False,True,Gerçek Gezegen
K02297.01,4.64495172,3.366,147.4,1.38,6047.0,1.129,1209.0,19.8,False,True,Gerçek Gezegen
K02299.01,16.48686712,1.431,987.9,27.45,6090.0,1.071,760.0,22.1,False,True,Gerçek Gezegen
K02300.01,2.685054445,1.0473,252.7,1.46,5266.0,0.829,1137.0,28.9,False,True,Gerçek Gezegen
K02302.01,16.8600805,5.557,273.4,1.71,6205.0,0.973,765.0,22.4,False,True,Gerçek Gezegen
K02072.01,1.54320541,2.5779,91.2,1.23,5866.0,1.282,1827.0,35.2,False,True,Gerçek Gezegen
K02073.01,49.5004725,5.772,965.2,2.49,4954.0,0.828,402.0,27.8,False,True,Gerçek Gezegen
K02073.02,6.47539108,2.7048,530.6,1.92,4954.0,0.828,793.0,28.1,False,True,Gerçek Gezegen
K02073.03,16.85825609,2.0728,759.6,2.51,4954.0,0.828,576.0,21.8,False,True,Gerçek Gezegen
K00025.01,3.132604547,3.6337,9969.2,48.73,6248.0,1.181,1444.0,222.3,False,False,Yanlış Pozitif
K02146.01,2.949029106,2.0311,358.3,1.48,4983.0,0.807,1027.0,29.3,False,True,Gerçek Gezegen
K02147.01,37.8658964,4.782,395.2,2.01,5757.0,1.017,543.0,25.9,False,True,Gerçek Gezegen
K00226.01,8.30865307,3.2747,836.1,2.42,5022.0,0.849,747.0,74.3,False,True,Gerçek Gezegen
K02148.01,11.93205399,6.205,178.5,1.83,5711.0,1.391,905.0,32.3,False,True,Gerçek Gezegen
K02148.02,7.54235832,4.73,132.5,1.59,5711.0,1.391,1054.0,25.8,False,True,Gerçek Gezegen
K02220.02,5.02818253,3.526,181.3,2.03,5640.0,1.515,1272.0,26.1,False,True,Gerçek Gezegen
K02220.03,1.897828815,2.7114,132.4,1.73,5640.0,1.515,1761.0,27.2,False,True,Gerçek Gezegen
K02221.01,10.62788695,4.576,326.7,1.87,6082.0,1.014,872.0,22.6,False,True,Gerçek Gezegen
K02223.01,1.104462494,1.0458,469.1,1.6,5002.0,0.753,1397.0,35.3,False,True,Gerçek Gezegen
K02303.01,4.89336495,3.485,138.3,1.6,6688.0,1.347,1374.0,15.9,False,True,Gerçek Gezegen
K02304.01,11.17392077,3.307,324.8,1.64,5911.0,0.914,796.0,21.4,False,True,Gerçek Gezegen
K02305.01,31.0325991,3.476,737.4,2.64,5841.0,0.931,561.0,17.6,False,True,Gerçek Gezegen
K02306.01,0.512407185,1.0579,329.2,1.03,3862.0,0.563,1255.0,46.1,False,False,Yanlış Pozitif
K02307.01,4.150297119,1.2058,593.4,3.03,5290.0,0.858,981.0,24.2,False,False,Yanlış Pozitif
K00221.02,5.89661966,3.154,144.0,1.28,5392.0,1.087,1000.0,15.3,False,True,Gerçek Gezegen
K02074.01,33.4178173,4.645,1166.8,3.13,5136.0,0.744,448.0,28.4,False,True,Gerçek Gezegen
K02075.01,2.053341891,2.596,65.5,1.44,6084.0,1.358,1737.0,23.2,False,True,Gerçek Gezegen
K02076.01,56.7769831,6.864,884.3,3.21,6063.0,1.012,491.0,33.6,False,True,Gerçek Gezegen
K02078.01,18.78429232,3.1136,1009.5,2.14,4243.0,0.641,433.0,23.8,False,True,Gerçek Gezegen
K02148.03,3.61460279,3.227,64.8,1.14,5711.0,1.391,1347.0,14.9,False,True,Gerçek Gezegen
K02149.01,13.15140223,5.439,97.8,1.87,6154.0,1.636,1008.0,25.5,False,True,Gerçek Gezegen
K02150.01,18.5084526,6.596,758.9,29.33,5942.0,0.938,683.0,30.1,False,True,Gerçek Gezegen
K02151.01,7.47763833,2.5693,110.0,2.05,5957.0,1.953,1346.0,26.2,False,False,Yanlış Pozitif
K02152.01,42.1918331,7.083,488.7,2.35,5520.0,1.08,526.0,25.7,False,True,Gerçek Gezegen
K02224.01,3.73090026,2.9095,191.2,1.48,5709.0,0.95,1128.0,24.0,False,True,Gerçek Gezegen
K02225.01,2.787874175,2.0348,197.4,2.33,4827.0,1.727,1432.0,22.2,False,True,Gerçek Gezegen
K00232.04,37.9962369,6.7751,403.7,2.39,6038.0,1.191,618.0,37.8,False,True,Gerçek Gezegen
K00238.01,17.23232894,4.5568,509.8,2.79,6086.0,1.216,817.0,64.1,False,True,Gerçek Gezegen
K02308.01,28.5057217,6.324,755.8,2.55,5712.0,0.87,555.0,20.8,False,True,Gerçek Gezegen
K02309.01,53.5991459,6.811,523.1,2.49,6319.0,1.032,529.0,23.1,False,True,Gerçek Gezegen
K02310.01,16.4581861,1.9637,435.8,1.82,5475.0,0.884,644.0,22.4,False,True,Gerçek Gezegen
K02079.01,0.693842661,1.6197,49.3,0.83,5457.0,1.196,2161.0,28.9,False,True,Gerçek Gezegen
K02080.01,83.4887405,6.21,955.4,2.95,5910.0,0.94,411.0,24.7,False,True,Gerçek Gezegen
K02080.02,34.0607677,2.471,818.9,2.96,5910.0,0.94,554.0,20.5,False,True,Gerçek Gezegen
K02082.01,31.5888979,3.438,360.6,2.59,5866.0,1.367,682.0,27.3,False,True,Gerçek Gezegen
K02153.01,59.9809868,7.588,282.4,2.81,6103.0,1.383,568.0,25.2,False,True,Gerçek Gezegen
K02153.02,25.7457957,7.073,140.3,1.73,6103.0,1.383,753.0,19.3,False,True,Gerçek Gezegen
K02154.01,11.92979348,6.152,709.3,2.43,5831.0,0.921,770.0,27.8,False,True,Gerçek Gezegen
K02155.01,4.3394569,2.3652,337.4,2.11,5330.0,1.013,1061.0,31.6,False,True,Gerçek Gezegen
K02156.01,2.852348262,0.7051,1402.9,1.66,3731.0,0.433,621.0,33.3,False,True,Gerçek Gezegen
K02227.01,65.6480892,5.746,588.7,3.93,5565.0,1.246,485.0,22.0,False,True,Gerçek Gezegen
K02228.01,102.653705,53.5887,687.3,39.16,6711.0,1.698,562.0,82.1,False,False,Yanlış Pozitif
K02229.01,14.83340944,3.927,783.0,2.54,5570.0,0.904,694.0,19.1,False,True,Gerçek Gezegen
K02230.01,0.987338654,2.591,26.5,0.98,6258.0,1.896,2669.0,25.0,False,False,Yanlış Pozitif
K02232.01,101.1323475,4.366,1502.9,3.87,5492.0,1.016,380.0,25.7,False,True,Gerçek Gezegen
K02233.01,1.811460943,5.065,428.5,2.83,5700.0,1.008,1508.0,83.9,False,False,Yanlış Pozitif
K02313.01,16.07673148,2.205,488.0,2.14,5957.0,0.971,724.0,19.3,False,True,Gerçek Gezegen
K02314.01,18.87058705,3.4701,588.0,2.67,6103.0,0.949,701.0,28.5,False,True,Gerçek Gezegen
K02315.01,22.1334224,2.049,654.6,1.76,5165.0,0.702,507.0,16.3,False,True,Gerçek Gezegen
K02316.01,17.1369408,6.416,362.1,2.05,6218.0,1.077,775.0,25.4,False,True,Gerçek Gezegen
K00238.02,26.6951944,4.576,132.6,1.4,6086.0,1.216,706.0,13.4,False,True,Gerçek Gezegen
K02083.01,7.72085047,1.8264,267.0,2.53,5887.0,1.177,1021.0,25.0,False,True,Gerçek Gezegen
K00222.01,6.312508525,2.7455,1286.0,2.0,4090.0,0.571,575.0,112.5,False,True,Gerçek Gezegen
K02084.01,4.19577385,2.1557,874.2,3.02,5229.0,1.005,1047.0,23.3,False,True,Gerçek Gezegen
K02086.01,7.1329472,4.368,145.0,1.64,5862.0,1.307,1102.0,27.2,False,True,Gerçek Gezegen
K02086.02,8.91901228,4.141,180.6,1.84,5862.0,1.307,1023.0,29.6,False,True,Gerçek Gezegen
K02158.01,4.5620407,2.8521,81.6,2.82,5343.0,2.506,1533.0,22.8,False,True,Gerçek Gezegen
K02159.02,2.392630668,1.3705,101.5,1.33,5716.0,1.091,1418.0,20.5,False,False,Yanlış Pozitif
K02160.01,17.6700291,6.693,348.4,2.89,5795.0,1.247,778.0,25.0,False,True,Gerçek Gezegen
K02162.01,108.593113,7.989,338.2,1.68,5678.0,0.921,374.0,24.3,False,True,Gerçek Gezegen
K02236.01,19.9865916,4.391,648.0,4.22,5500.0,1.238,720.0,21.8,False,True,Gerçek Gezegen
K02236.02,12.12580644,3.289,327.5,2.5,5500.0,1.238,851.0,14.0,False,True,Gerçek Gezegen
K02237.01,76.421501,7.218,578.4,2.81,5561.0,1.19,455.0,23.9,False,True,Gerçek Gezegen
K00232.05,56.2590881,8.114,348.8,2.22,6038.0,1.191,543.0,29.7,False,True,Gerçek Gezegen
K02238.01,1.646801683,1.1966,284.2,0.86,3810.0,0.513,806.0,25.2,False,True,Gerçek Gezegen
K02317.01,3.78861833,2.808,143.4,1.23,5560.0,1.04,1158.0,18.2,False,True,Gerçek Gezegen
K02318.01,10.45839865,3.154,306.8,1.25,4641.0,0.747,609.0,18.6,False,True,Gerçek Gezegen
K02319.01,21.1033014,2.059,192.5,1.56,6000.0,1.126,718.0,21.3,False,True,Gerçek Gezegen
K02321.01,95.6114617,7.489,487.4,2.37,6002.0,1.081,421.0,21.6,False,True,Gerçek Gezegen
K02086.03,11.8984948,3.015,130.9,1.69,5862.0,1.307,929.0,15.9,False,True,Gerçek Gezegen
K02087.01,23.1274171,4.901,157.3,1.44,5865.0,1.066,667.0,20.9,False,True,Gerçek Gezegen
K02090.01,5.132486123,1.4575,908.4,1.69,3879.0,0.578,584.0,35.4,False,True,Gerçek Gezegen
K02091.01,8.77997349,3.2201,755.7,2.12,5191.0,0.764,713.0,32.7,False,True,Gerçek Gezegen
K02092.01,57.6896212,5.118,1626.6,5.14,6228.0,1.049,512.0,30.2,False,True,Gerçek Gezegen
K02163.01,10.66489514,3.159,292.6,1.76,6014.0,1.021,865.0,25.3,False,True,Gerçek Gezegen
K02164.01,5.1233204,2.7466,286.2,1.65,5364.0,0.982,994.0,25.1,False,True,Gerçek Gezegen
K00229.01,3.573202801,2.88,2975.0,5.81,5646.0,1.08,1210.0,362.1,False,True,Gerçek Gezegen
K02166.01,61.6174528,3.816,1350.7,3.36,5480.0,0.931,424.0,19.5,False,True,Gerçek Gezegen
K02167.01,24.3398202,3.891,777.3,5.09,5596.0,1.466,737.0,27.8,False,True,Gerçek Gezegen
K02241.01,7.16520428,1.705,433.8,2.31,6174.0,1.103,1034.0,17.6,False,True,Gerçek Gezegen
K02242.01,1.755843555,1.9425,386.0,1.94,5569.0,0.829,1343.0,25.1,False,True,Gerçek Gezegen
K02243.01,5.18560081,4.054,252.6,2.34,6172.0,1.471,1314.0,27.6,False,True,Gerçek Gezegen
K02245.01,33.4698571,4.749,370.7,2.45,5912.0,1.094,609.0,23.2,False,True,Gerçek Gezegen
K02246.01,11.89520436,3.433,184.3,1.33,5649.0,0.992,787.0,22.3,False,True,Gerçek Gezegen
K02325.01,1.025857984,0.8069,270.7,1.57,5123.0,0.847,1520.0,36.0,False,True,Gerçek Gezegen
K02327.01,5.60013327,2.6508,329.2,1.73,5288.0,0.978,952.0,22.8,False,True,Gerçek Gezegen
K02328.01,25.2034128,4.515,697.1,2.42,5831.0,0.921,600.0,22.3,False,True,Gerçek Gezegen
K02329.01,1.615357809,1.1435,499.6,1.37,3821.0,0.486,806.0,31.2,False,True,Gerçek Gezegen
K00239.01,5.640676975,2.8354,1453.3,4.59,5794.0,1.216,1125.0,145.9,False,True,Gerçek Gezegen
K02092.02,25.5638626,4.685,1124.9,4.0,6228.0,1.049,671.0,31.6,False,True,Gerçek Gezegen
K00222.02,12.7945474,3.4197,816.7,1.6,4090.0,0.571,455.0,54.1,False,True,Gerçek Gezegen
K02094.01,42.4269647,5.907,632.4,3.44,5330.0,1.013,496.0,26.0,False,True,Gerçek Gezegen
K02095.01,1.434745129,1.862,200.7,1.5,5806.0,1.064,1664.0,28.4,False,True,Gerçek Gezegen
K02168.01,3.28192056,2.917,191.0,1.6,5859.0,1.162,1326.0,24.5,False,True,Gerçek Gezegen
K02168.02,12.51610549,4.853,263.0,1.87,5859.0,1.162,848.0,22.6,False,True,Gerçek Gezegen
K02169.01,5.45298742,2.1328,86.0,0.92,5450.0,0.842,904.0,21.0,False,True,Gerçek Gezegen
K02169.02,3.26662733,2.056,59.9,0.68,5450.0,0.842,1072.0,18.6,False,True,Gerçek Gezegen
K02247.01,4.45743267,2.3226,175.7,0.79,4487.0,0.612,732.0,20.8,False,True,Gerçek Gezegen
K02248.01,2.81814715,1.763,278.6,1.3,5167.0,0.787,1059.0,16.5,False,True,Gerçek Gezegen
K00233.01,1.824649,4.2285,3218.5,5.31,6190.0,0.793,1508.0,184.3,False,False,Yanlış Pozitif
K02331.01,2.832647249,2.306,114.7,1.37,5865.0,1.272,1453.0,27.5,False,True,Gerçek Gezegen
K02332.01,3.70063251,5.408,68.6,1.24,5423.0,1.404,1329.0,29.8,False,True,Gerçek Gezegen
K02333.01,3.93083997,2.932,101.4,1.2,6038.0,1.191,1317.0,22.0,False,True,Gerçek Gezegen
K02333.02,7.63008196,2.78,124.0,1.39,6038.0,1.191,1056.0,18.6,False,True,Gerçek Gezegen
K02335.01,16.22378479,2.5462,262.3,1.51,5547.0,0.925,676.0,20.6,False,True,Gerçek Gezegen
K02096.01,9.76293284,3.064,553.2,1.94,5052.0,0.816,703.0,23.6,False,True,Gerçek Gezegen
K02097.01,58.601926,5.522,396.4,2.06,6250.0,1.019,508.0,19.1,False,True,Gerçek Gezegen
K02098.01,25.0823402,6.423,244.6,2.26,6429.0,1.262,776.0,30.5,False,True,Gerçek Gezegen
K02099.01,78.0998908,8.422,656.9,3.37,5779.0,1.284,480.0,23.8,False,True,Gerçek Gezegen
K02100.01,4.27103727,2.2759,180.4,1.22,5984.0,0.906,1108.0,24.6,False,True,Gerçek Gezegen
K02169.03,4.27226421,2.113,48.9,0.64,5450.0,0.842,981.0,13.7,False,True,Gerçek Gezegen
K02171.01,3.53232429,2.765,224.2,1.43,5761.0,0.956,1159.0,12.8,False,True,Gerçek Gezegen
K00026.01,15.03946326,5.1008,5237.7,12.36,6501.0,1.441,962.0,181.6,False,False,Yanlış Pozitif
K00230.01,4.702495974,2.3421,4787.3,37.24,5408.0,0.878,981.0,101.1,False,False,Yanlış Pozitif
K02172.01,10.44087398,3.743,821.5,3.41,5738.0,0.981,829.0,22.2,False,True,Gerçek Gezegen
K02555.01,12.5722897,4.765,86.5,1.09,6084.0,1.169,886.0,12.4,False,True,Gerçek Gezegen
K02556.01,40.8366307,4.956,264.8,1.5,5529.0,0.925,496.0,18.7,False,True,Gerçek Gezegen
K02557.01,11.7761073,2.829,281.3,1.31,5096.0,0.689,619.0,15.1,False,False,Yanlış Pozitif
K02633.01,29.7123181,70.3707,385.4,46.43,6440.0,1.921,870.0,130.0,False,False,Yanlış Pozitif
K00253.02,20.6180348,3.267,769.5,1.57,3757.0,0.576,359.0,16.3,False,True,Gerçek Gezegen
K02634.01,19.9401211,4.283,758.9,2.42,5623.0,0.763,588.0,18.0,False,True,Gerçek Gezegen
K02635.01,22.2420032,7.532,63.5,2.04,5979.0,2.164,954.0,16.2,False,True,Gerçek Gezegen
K02636.01,3.88148385,2.679,36.3,0.59,5854.0,0.979,1156.0,11.9,False,True,Gerçek Gezegen
K02409.01,0.577369336,1.0852,400.4,1.42,5255.0,0.716,1757.0,68.3,False,True,Gerçek Gezegen
K00244.01,12.720370263,2.7306,1180.1,4.75,6267.0,1.258,934.0,485.5,False,True,Gerçek Gezegen
K02411.01,11.96407399,4.526,784.2,3.21,5903.0,0.961,808.0,22.9,False,True,Gerçek Gezegen
K02412.01,2.493237866,2.644,259.2,9.48,5002.0,4.131,2241.0,20.7,False,False,Yanlış Pozitif
K02413.01,12.90467523,3.28,412.4,1.49,4513.0,0.722,545.0,21.2,False,True,Gerçek Gezegen
K02484.01,68.8861017,5.925,143.9,1.47,5753.0,1.222,501.0,19.5,False,True,Gerçek Gezegen
K02485.01,9.99115241,2.657,391.7,1.68,4838.0,0.796,660.0,16.7,False,True,Gerçek Gezegen
K02487.01,36.292017,8.198,374.7,3.1,5843.0,1.615,694.0,21.4,False,True,Gerçek Gezegen
K00031.01,0.925589891,1.967,400.8,50.6,4094.0,24.488,6637.0,20.6,False,False,Yanlış Pozitif
K00250.02,17.25121397,2.0371,2054.8,2.64,3879.0,0.537,385.0,68.6,False,True,Gerçek Gezegen
K02558.01,1.867281146,7.495,701.1,31.18,6117.0,1.025,1561.0,58.5,False,False,Yanlış Pozitif
K02559.01,9.30991834,3.455,114.5,1.21,5806.0,1.101,913.0,19.2,False,True,Gerçek Gezegen
K02561.01,3.23941775,2.569,77.4,0.77,6075.0,0.858,1213.0,17.2,False,True,Gerçek Gezegen
K02638.01,2.524017517,1.1968,303.0,1.5,5420.0,0.871,1203.0,19.8,False,True,Gerçek Gezegen
K02413.02,31.2012202,4.077,360.1,1.47,4513.0,0.722,406.0,13.7,False,True,Gerçek Gezegen
K02414.01,22.5968256,6.179,142.9,1.3,5610.0,1.104,670.0,22.2,False,True,Gerçek Gezegen
K02414.02,45.3486381,4.858,162.9,1.61,5610.0,1.104,531.0,15.9,False,True,Gerçek Gezegen
K02415.01,5.25419589,2.9878,461.8,2.12,6123.0,0.987,1093.0,26.1,False,True,Gerçek Gezegen
K02416.01,5.90608902,2.409,340.7,1.77,5966.0,0.961,1012.0,9.3,False,True,Gerçek Gezegen
K00247.01,13.81504449,2.3244,1032.6,1.91,3732.0,0.509,391.0,46.7,False,True,Gerçek Gezegen
K02488.01,12.4128518,4.298,108.1,1.5,5945.0,1.346,933.0,19.4,False,True,Gerçek Gezegen
K02489.01,3.92453009,3.691,463.5,1.82,5776.0,0.849,1074.0,25.3,False,True,Gerçek Gezegen
K02490.01,11.60653061,2.194,771.7,1.88,4703.0,0.701,584.0,17.8,False,True,Gerçek Gezegen
K02491.01,2.66831274,2.4141,266.2,1.48,5806.0,0.899,1252.0,23.3,False,True,Gerçek Gezegen
K02562.01,2.9322509,2.931,181.2,1.33,6106.0,0.966,1312.0,13.1,False,False,Yanlış Pozitif
